S_fs,absS_fs,fringe_spacing_THz,visibility,Vcl_used,q,lambda_eff_inv_s,gamma_inv_s,asym_obs,aclip,k_calibrated,Delta,J,pt_unbroken,eta_residual_norm,eta_condition_number,asym_pred_k,asym_pred_k1,abs_err_k,abs_err_k1
99.999999999909,99.999999999909,19.991482451694537,0.1686258279982071,0.15979067349594156,0.0,0.0,0.0,0.2388326333361346,0.2388326333361346,1.0000001685893696,14999908612402.924,60987561230072.89,True,1.1783733839662292e-16,1.0000000000000002,0.2388326736007777,0.2388326333361346,4.026464309192512e-08,0.0
-100.000000000098,100.000000000098,19.991482451694537,0.1332852099891449,0.15979067349594156,0.18137339981475617,1813733998145.784,906866999072.892,0.2224330235444324,0.2224330235444324,1.0000001685893696,13969929397592.734,61238414116897.336,True,7.011603202673878e-12,1.0285544579236403,0.22240987648264518,0.22240983898671066,2.3147061787215373e-05,2.318455772173933e-05
200.000000000007,200.000000000007,19.991482451694537,0.1085201609336177,0.15979067349594156,0.38692869724866213,1934643486243.243,967321743121.6215,0.1819767225839871,0.1819767225839871,1.0000001685893696,11429067168148.25,61764002608258.805,True,8.034884558222882e-12,1.0307517950381142,0.18195517279767298,0.1819551421219703,2.1549786314106756e-05,2.158046201677921e-05
-200.000000000007,200.000000000007,19.991482451694537,0.1095022920922459,0.15979067349594156,0.3779191866373268,1889595933186.5679,944797966593.2839,0.2146090409789387,0.2146090409789387,1.0000001685893696,13478543351104.41,61349012995340.086,True,6.975528157633066e-12,1.0298205855236298,0.2145847980620766,0.21458476188536685,2.4242916862121655e-05,2.4279093571860644e-05
299.999999999916,299.999999999916,19.991482451694537,0.1036666001736058,0.15979067349594156,0.43268468592532555,1442282286418.1555,721141143209.0778,0.1707324582659444,0.1707324582659444,1.0000001685893696,10722869967085.84,61887155269811.25,True,1.1487014892721657e-11,1.0228846840500934,0.17072123338332823,0.170721204601548,1.122488261617871e-05,1.1253664396415619e-05
-300.000000000106,300.000000000106,19.991482451694537,0.0888559237167322,0.15979067349594156,0.5868484446640405,1956161482212.7769,978080741106.3884,0.1975405768845024,0.1975405768845024,1.0000001685893696,12406556671586.066,61575270008853.195,True,7.320429407794532e-12,1.0310024792289032,0.19751666010172497,0.19751662680252138,2.3916782777438916e-05,2.3950081981027882e-05
-400.000000000015,400.000000000015,19.991482451694537,0.108392924163192,0.15979067349594156,0.38810185639636346,970254640990.8722,485127320495.4361,0.2118187219390351,0.2118187219390351,1.0000001685893696,13303297070839.62,61381898950215.04,True,1.3762831855066755e-11,1.0152125230507796,0.21181243881888945,0.21181240310956995,6.283120145639254e-06,6.3188294651406185e-06
400.000000000015,400.000000000015,19.991482451694537,0.168657089765607,0.15979067349594156,0.0,0.0,0.0,0.1749303976366068,0.1749303976366068,1.0000001685893696,10986521990014.055,61836689899567.445,True,9.090936774043246e-17,1.0000000000000002,0.17493042712801227,0.1749303976366068,2.9491405456605335e-08,0.0
499.999999999924,499.999999999924,19.991482451694537,0.15406823263763,0.15979067349594156,0.0364690946610523,72938189322.11568,36469094661.05784,0.1860827066706596,0.1860827066706596,1.0000001685893696,11686943929810.828,61708156306509.85,True,2.0839341959494072e-10,1.001141709211626,0.18608270667065957,0.1860826752990987,2.7755575615628914e-17,3.13715609046028e-08
-500.000000000113,500.000000000113,19.991482451694537,0.0922680643944475,0.15979067349594156,0.5491665842796665,1098333168559.0846,549166584279.5423,0.2268567031399783,0.2268567031399783,1.0000001685893696,14247759059045.875,61170113853948.27,True,1.1352089508666193e-11,1.0171776835515225,0.22684806946581623,0.22684803122164968,8.633674162067395e-06,8.67191832862324e-06
-600.000000000022,600.000000000022,19.991482451694537,0.1460923751921267,0.15979067349594156,0.08962553959491329,149375899324.84998,74687949662.42499,0.245859123476362,0.245859123476362,1.0000001685893696,15441208063391.37,60877373095471.28,True,7.701554009936874e-11,1.0023080593761207,0.24585899107856685,0.24585894962936153,1.32397795143957e-07,1.7384700046196855e-07
600.000000000022,600.000000000022,19.991482451694537,0.1500372650673688,0.15979067349594156,0.06298097099992901,104968284999.87782,52484142499.93891,0.2172856011941905,0.2172856011941905,1.0000001685893696,13646644996443.074,61304581542480.15,True,1.240098043406186e-10,1.001632733803045,0.21728556195672555,0.21728552532469583,3.923746494383096e-08,7.586949465898662e-08
699.999999999931,699.999999999931,19.991482451694537,0.1387797040574952,0.15979067349594156,0.14097685501283388,201395507161.2111,100697753580.60555,0.2228790689890522,0.2228790689890522,1.0000001685893696,13997943328573.68,61225383671970.12,True,6.30124572343091e-11,1.003130904110944,0.22287882008802798,0.22287878251303453,2.4890102420793703e-07,2.8647601765796615e-07
-700.000000000121,700.000000000121,19.991482451694537,0.1089404955518262,0.15979067349594156,0.383062847227915,547232638896.9268,273616319448.4634,0.265637571823454,0.265637571823454,1.0000001685893696,16683395588426.816,60549310984541.01,True,1.945752278119743e-11,1.008435505329688,0.26563509575340555,0.26563505097015977,2.4760700484405263e-06,2.5208532942189166e-06
-800.00000000003,800.00000000003,19.991482451694537,0.1259908238852658,0.15979067349594156,0.23765559003198197,297069487539.9663,148534743769.98315,0.2964233436673651,0.2964233436673651,1.0000001685893696,18616899221370.63,59982605888071.96,True,3.212001104658161e-11,1.004527654283987,0.29642256465553596,0.2964225146818511,7.790118291550741e-07,8.289855140120039e-07
800.00000000003,800.00000000003,19.991482451694537,0.1817467490416701,0.15979067349594156,0.0,0.0,0.0,0.2548353396875968,0.2548353396875968,1.0000001685893696,16004960264976.799,60731549709264.31,True,7.635172074938495e-17,1.0,0.25483538265012606,0.2548353396875968,4.296252925639621e-08,0.0
899.999999999939,899.999999999939,19.991482451694537,0.1017530945834285,0.15979067349594156,0.4513154305675122,501461589519.492,250730794759.746,0.2741328187511166,0.2741328187511166,1.0000001685893696,17216940463659.143,60399666474034.33,True,2.0575465828397784e-11,1.007708078290093,0.2741306804696209,0.2741306342541101,2.1382814957005003e-06,2.1844970065076907e-06
-900.000000000128,900.000000000128,19.991482451694537,0.1492818782398329,0.15979067349594156,0.06802834901175062,75587054457.48993,37793527228.744965,0.3210226756902542,0.3210226756902542,1.0000001685893696,20161862851822.996,59480926336661.15,True,1.1656330881032387e-10,1.001140467257029,0.3210226716878961,0.3210226175668954,4.0023581115988804e-09,5.8123358848138906e-08
1000.00000000003,1000.00000000003,19.991482451694537,0.1561057875107666,0.15979067349594156,0.023330765528439174,23330765528.438473,11665382764.219236,0.2958782999975268,0.2958782999975268,1.0000001685893696,18582667696460.727,59993036933767.56,True,4.097347740443515e-10,1.000354909101177,0.295878344775689,0.2958782948937538,4.477816217818287e-08,5.10377301532472e-09
-1000.00000000003,1000.00000000003,19.991482451694537,0.1557407404673277,0.15979067349594156,0.025671963376927454,25671963376.92668,12835981688.46334,0.3443663810579576,0.3443663810579576,1.0000001685893696,21627966718364.56,58963642217590.914,True,3.1993746411568314e-10,1.0003838282734356,0.3443664319223103,0.3443663738658004,5.086435272971812e-08,7.192157203128602e-09
1099.99999999994,1099.99999999994,19.991482451694537,0.1488562311680605,0.15979067349594156,0.07088371937560244,64439744886.91482,32219872443.45741,0.3147439271426483,0.3147439271426483,1.0000001685893696,19767525390066.688,59613134972467.086,True,1.3945490870450462e-10,1.0009743555001867,0.314743938787499,0.3147438857250257,1.1644850694825237e-08,4.141762260934101e-08
-1100.00000000013,1100.00000000013,19.991482451694537,0.1793857242658825,0.15979067349594156,0.0,0.0,0.0,0.365520758851528,0.365520758851528,1.0000001685893696,22956569636748.887,58459180576582.05,True,1.0433309158863501e-16,1.0000000000000002,0.36552082047444234,0.365520758851528,6.162291432687539e-08,0.0
1200.00000000004,1200.00000000004,19.991482451694537,0.1633381809085954,0.15979067349594156,0.0,0.0,0.0,0.3344548410471544,0.3344548410471544,1.0000001685893696,21005471407344.89,59188259428095.58,True,2.418273597118763e-16,1.0000000000000002,0.3344548974326852,0.33445484104715445,5.638553080000719e-08,5.551115123125783e-17
-1200.00000000004,1200.00000000004,19.991482451694537,0.1430444684697817,0.15979067349594156,0.11070911778464929,92257598153.87132,46128799076.93566,0.3685013121542398,0.3685013121542398,1.0000001685893696,23143763599862.586,58385342488265.914,True,8.319626984097658e-11,1.0013665094164277,0.3685012748848832,0.3685012127594961,3.726935660086639e-08,9.939474371334356e-08
-1299.99999999995,1299.99999999995,19.991482451694537,0.1617804801214165,0.15979067349594156,0.0,0.0,0.0,0.3613289253649484,0.3613289253649484,1.0000001685893696,22693301094511.562,58561881532325.87,True,1.427612246147398e-16,1.0,0.3613289862811641,0.3613289253649484,6.091621573833805e-08,0.0
1299.99999999995,1299.99999999995,19.991482451694537,0.1339303418556857,0.15979067349594156,0.17654484013308175,135803723179.29887,67901861589.64944,0.3360293911023865,0.3360293911023865,1.0000001685893696,21104361188880.293,59153110084292.44,True,6.19806651269061e-11,1.0020386443479163,0.3360292513628233,0.33602919471187326,1.3973956319857095e-07,1.9639051324071843e-07
